0:0:0:0:0:0:0:1 - - [29/May/2022:23:43:52 +0900] "GET /project2.1/trade/tradeList?page=1 HTTP/1.1" 200 39699
0:0:0:0:0:0:0:1 - - [29/May/2022:23:43:52 +0900] "GET /project2.1/chat/info?self_name=%EA%B3%A0%EA%B0%9D2&t=1653835432115 HTTP/1.1" 200 78
0:0:0:0:0:0:0:1 - - [29/May/2022:23:43:52 +0900] "GET /project2.1/chat/606/x1jckifu/websocket?self_name=%EA%B3%A0%EA%B0%9D2 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [29/May/2022:23:43:58 +0900] "GET /project2.1/trade/trade_detail?idx=32 HTTP/1.1" 200 44138
0:0:0:0:0:0:0:1 - - [29/May/2022:23:43:58 +0900] "GET /project2.1/chat/info?self_name=%EA%B3%A0%EA%B0%9D2&t=1653835438230 HTTP/1.1" 200 79
0:0:0:0:0:0:0:1 - - [29/May/2022:23:43:58 +0900] "GET /project2.1/chat/196/2dn45cvl/websocket?self_name=%EA%B3%A0%EA%B0%9D2 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [29/May/2022:23:43:58 +0900] "GET /project2.1/trade/viewReply?trade_idx=32 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [29/May/2022:23:44:03 +0900] "GET /project2.1/chatContent?room_idx=32&self_name=%EA%B3%A0%EA%B0%9D2&opponent_name=%EA%B3%A0%EA%B0%9D1 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [29/May/2022:23:44:21 +0900] "GET /project2.1/chatList HTTP/1.1" 200 446
0:0:0:0:0:0:0:1 - - [29/May/2022:23:44:26 +0900] "GET /project2.1/trade/tradeList?page=1 HTTP/1.1" 200 39699
0:0:0:0:0:0:0:1 - - [29/May/2022:23:44:26 +0900] "GET /project2.1/chat/info?self_name=%EA%B3%A0%EA%B0%9D2&t=1653835466698 HTTP/1.1" 200 79
0:0:0:0:0:0:0:1 - - [29/May/2022:23:44:26 +0900] "GET /project2.1/chat/943/ocoe3m0f/websocket?self_name=%EA%B3%A0%EA%B0%9D2 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [29/May/2022:23:44:27 +0900] "GET /project2.1/product/productList HTTP/1.1" 200 41957
0:0:0:0:0:0:0:1 - - [29/May/2022:23:44:27 +0900] "GET /project2.1/chat/info?self_name=%EA%B3%A0%EA%B0%9D2&t=1653835467742 HTTP/1.1" 200 78
0:0:0:0:0:0:0:1 - - [29/May/2022:23:44:27 +0900] "GET /project2.1/getProductList HTTP/1.1" 200 34024
0:0:0:0:0:0:0:1 - - [29/May/2022:23:44:27 +0900] "GET /project2.1/chat/229/qyen53gp/websocket?self_name=%EA%B3%A0%EA%B0%9D2 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [29/May/2022:23:44:30 +0900] "GET /project2.1/myPage/shopping?page=0 HTTP/1.1" 200 30901
